SNO,Indicator Type,Value,Additional Notes,Attack Phase,Payload / Attack / Actor / Tool / Vulnerability Name/Type
1,URL,hxxp://23.95.123.5:666/xmrigCCall/8bq.sh,URL reported to be used to download the shell scripts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
2,URL,hxxps://ocr-freespace.oss-cn-beijing.aliyuncs.com/2025/config.sh,URL reported to be used to download the shell scripts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
3,URL,hxxp://abode-dashboard-media.s3.ap-south-1.amazonaws.com/BCYVrrHX,URL reported to be involved in CVE-2025-31324 exploitation attempts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
4,URL,hxxp://temp.sh/vvgtW/webhelper,URL reported to be involved in CVE-2025-31324 exploitation attempts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
5,IPv4,138.68.61.82,IP address reported to be used to download the shell scripts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
6,IPv4,59.110.190.23,IP address reported to be used to download the shell scripts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
7,IPv4,23.95.123.5,IP address reported to be used to download the shell scripts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
8,IPv4,50.114.94.57,IP address reported to be involved in CVE-2025-31324 exploitation attempts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
9,IPv4,63.135.161.220,IP address reported to be involved in CVE-2025-31324 exploitation attempts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
10,IPv4,91.218.50.174,IP address reported to be involved in CVE-2025-31324 exploitation attempts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
11,IPv4,159.89.93.5,IP address reported to be involved in CVE-2025-31324 exploitation attempts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
12,IPv4,167.99.11.36,IP address reported to be involved in CVE-2025-31324 exploitation attempts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
13,IPv4,63.135.161.223,IP address reported to be involved in CVE-2025-31324 exploitation attempts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
14,IPv4,63.135.161.224,IP address reported to be involved in CVE-2025-31324 exploitation attempts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
15,IPv4,63.135.161.226,IP address reported to be involved in CVE-2025-31324 exploitation attempts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
16,IPv4,63.135.161.229,IP address reported to be involved in CVE-2025-31324 exploitation attempts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
17,IPv4,63.135.161.235,IP address reported to be involved in CVE-2025-31324 exploitation attempts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
18,IPv4,63.135.161.242,IP address reported to be involved in CVE-2025-31324 exploitation attempts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
19,IPv4,142.111.152.19,IP address reported to be involved in CVE-2025-31324 exploitation attempts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
20,IPv4,142.111.152.23,IP address reported to be involved in CVE-2025-31324 exploitation attempts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
21,IPv4,142.111.152.24,IP address reported to be involved in CVE-2025-31324 exploitation attempts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
22,IPv4,143.198.173.194,IP address reported to be involved in CVE-2025-31324 exploitation attempts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
23,IPv4,206.188.197.52,IP address reported to be involved in CVE-2025-31324 exploitation attempts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
24,IPv4,192.42.116.200,IP address reported to be involved in CVE-2025-31324 exploitation attempts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
25,IPv4,136.144.35.191,IP address reported to be involved in CVE-2025-31324 exploitation attempts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
26,IPv4,199.101.196.85,IP address reported to be involved in CVE-2025-31324 exploitation attempts,DELIVERY,SAP NetWeaver Flaw CVE-2025-31324 Exploitation
