IOC Type,IOCs
Domain,jkpolice.gov.in.kashmirattack.exposed
Domain,iaf.nic.in.ministryofdefenceindia.org
Domain,email.gov.in.ministryofdefenceindia.org
Domain,email.gov.in.departmentofdefenceindia.link
Domain,email.gov.in.departmentofdefence.de
Domain,email.gov.in.briefcases.email
Domain,email.gov.in.modindia.link
Domain,email.gov.in.defenceindia.ltd
Domain,email.gov.in.indiadefencedepartment.link
Domain,email.gov.in.departmentofspace.info
Domain,email.gov.in.indiangov.download
Domain,indianarmy.nic.in.departmentofdefence.de
Domain,indianarmy.nic.in.ministryofdefenceindia.org
Domain,email.gov.in.indiandefence.work
Domain,email.gov.in.indiangov.download
Domain,email.gov.in.drdosurvey.info
IPv4,37.221.64.134
IPv4,78.40.143.189
IPv4,37.221.64.134
IPv4,45.141.58.224
IPv4,45.141.59.167
IPv4,45.141.58.224
IPv4,45.141.58.224
IPv4,78.40.143.98
IPv4,84.54.51.12
IPv4,45.141.58.224
IPv4,45.141.58.33
IPv4,45.141.59.167
IPv4,45.141.58.224
IPv4,45.141.58.33
IPv4,78.40.143.98
IPv4,176.65.143.215
IPv4,176.65.143.215
IPv4,45.141.59.72
IPv4,78.40.143.98
IPv4,93.127.133.58 
IPv4,104.129.27.14 
IPv4,192.64.118.76
URL,hxxps://iaf[.]nic[.]in[.]ministryofdefenceindia[.]org/publications/default[.]htm
URL,hxxps://jkpolice[.]gov[.]in[.]kashmiraxxack[.]exposed/service/home
URL,hxxps://email[.]gov[.]in[.]ministryofdefenceindia[.]org/service/home/
URL,hxxps://email[.]gov[.]in[.]departmentofdefenceindia[.]link/service/home/
URL,hxxps://email[.]gov[.]in[.]departmentofdefence[.]de/service/home/
URL,hxxps://email[.]gov[.]in[.]indiangov[.]download/service/home/
URL,hxxps://indianarmy[.]nic[.]in[.]departmentofdefence[.]de/publications/publications-site-main/index[.]html
URL,hxxps://indianarmy[.]nic[.]in[.]ministryofdefenceindia[.]org/publications/publications-site-main/index[.]htm
URL,hxxps://email[.]gov[.]in[.]briefcases[.]email/service/home/
URL,hxxps://email[.]gov[.]in[.]modindia[.]link/service/home/
URL,hxxps://email[.]gov[.]in[.]defenceindia[.]ltd/service/home/
URL,hxxps://email[.]gov[.]in[.]indiadefencedepartment[.]link/service/home/
URL,hxxps://email[.]gov[.]in[.]departmentofspace[.]info/service/home/
URL,hxxps://email[.]gov[.]in[.]indiandefence[.]work/service/home/
MD5 Hash,c4fb60217e3d43eac92074c45228506a
MD5 Hash,172fff2634545cf59d59c179d139e0aa
MD5 Hash,7b08580a4f6995f645a5bf8addbefa68
MD5 Hash,1b71434e049fb8765d528ecabd722072
MD5 Hash,c4f591cad9d158e2fbb0ed6425ce3804
MD5 Hash,5f03629508f46e822cf08d7864f585d3
MD5 Hash,f5cd5f616a482645bbf8f4c51ee38958
MD5 Hash,fa2c39adbb0ca7aeab5bc5cd1ffb2f08
MD5 Hash,00cd306f7cdcfe187c561dd42ab40f33
MD5 Hash,ca27970308b2fdeaa3a8e8e53c86cd3e
MD5 Hash,026e8e7acb2f2a156f8afff64fd54066
MD5 Hash,fb64c22d37c502bde55b19688d40c803
MD5 Hash,70b8040730c62e4a52a904251fa74029
MD5 Hash,3efec6ffcbfe79f71f5410eb46f1c19e
MD5 Hash,b03211f6feccd3a62273368b52f6079d
